,Unnamed: 0,Melhor janela temporal,Início da janela,Fim da janela,Posto,Ano Inicial,Ano Final,Média Série
175,175,Melhor janela de dados (37369100) para 30 anos:,1993-01-01,2023-01-01,37369100,1993,2023,2008.0
176,176,Melhor janela de dados (39689000) para 30 anos:,1993-01-01,2023-01-01,39689000,1993,2023,2008.0
177,177,Melhor janela de dados (39715000) para 30 anos:,1993-01-01,2023-01-01,39715000,1993,2023,2008.0
178,178,Melhor janela de dados (39690000) para 30 anos:,1993-01-01,2023-01-01,39690000,1993,2023,2008.0
179,179,Melhor janela de dados (35270000) para 30 anos:,1946-01-01,1976-01-01,35270000,1946,1976,1961.0
180,180,Melhor janela de dados (36230000) para 30 anos:,1945-01-01,1975-01-01,36230000,1945,1975,1960.0
181,181,Melhor janela de dados (37710100) para 30 anos:,1950-01-01,1980-01-01,37710100,1950,1980,1965.0
182,182,Melhor janela de dados (39190000) para 30 anos:,1978-01-01,2008-01-01,39190000,1978,2008,1993.0
183,183,Melhor janela de dados (39745000) para 30 anos:,1990-01-01,2020-01-01,39745000,1990,2020,2005.0
184,184,Melhor janela de dados (38490000) para 30 anos:,1945-01-01,1975-01-01,38490000,1945,1975,1960.0
185,185,Melhor janela de dados (39480300) para 30 anos:,1990-01-01,2020-01-01,39480300,1990,2020,2005.0
186,186,Melhor janela de dados (39490000) para 30 anos:,1989-01-01,2019-01-01,39490000,1989,2019,2004.0
187,187,Melhor janela de dados (39863500) para 30 anos:,1989-01-01,2019-01-01,39863500,1989,2019,2004.0
188,188,Melhor janela de dados (39190500) para 30 anos:,1974-01-01,2004-01-01,39190500,1974,2004,1989.0
189,189,Melhor janela de dados (38390000) para 30 anos:,1942-01-01,1972-01-01,38390000,1942,1972,1957.0
190,190,Melhor janela de dados (38590000) para 30 anos:,1945-01-01,1975-01-01,38590000,1945,1975,1960.0
